2.822 		 0.0005
2.879 		 0.00051
2.935 		 0.00052
2.992 		 0.00053
3.048 		 0.00054
3.105 		 0.00055
3.161 		 0.00056
3.218 		 0.00057
3.274 		 0.00058
3.331 		 0.00059
3.387 		 0.0006
3.444 		 0.00061
3.5 		 0.00062
3.557 		 0.00063
3.613 		 0.00064
3.67 		 0.00065
3.727 		 0.00066
3.783 		 0.00067
3.84 		 0.00068
3.896 		 0.00069
3.953 		 0.0007
4.009 		 0.00071
4.066 		 0.00072
4.122 		 0.00073
4.179 		 0.00074
4.235 		 0.00075
4.292 		 0.00076
4.348 		 0.00077
4.405 		 0.00078
4.461 		 0.00079
4.518 		 0.0008
4.574 		 0.00081
4.631 		 0.00082
4.687 		 0.00083
4.744 		 0.00084
4.8 		 0.00085
4.857 		 0.00086
4.913 		 0.00087
4.97 		 0.00088
5.026 		 0.00089
